SN,Yr_disclosure,Regions,Codes,Number_of_StudR,Number_of_StudE,Student_participation_rates_to_ODC,Number_of_student_participating_ODC,Employed_students_to_CEA,Number_of_Departments_participating_ODC,Number_of_CEA,Difference_of_lecture_sizeclass,sizeclass_equal_under30,sizeclass_over30,ShannonD_for_lecture_credits,ShannonD_for_major_credits,Evenness_for_major_credits,Number_of_students_for_major_credits,ShannonD_for_liberal_credits,Evenness_for_liberal_credits,Number_of_students_for_liberal_credits,Number_of_capstone_students,Capstone_funds,TPTC_per_1K,TPTC,Number_of_volunteer_CL/PG_per_1K,Number_of_volunteer_CL/PG_students,Number_of_volunteer_CL/PG,Rates_of_volunteer_CL/PG_students_to_total_students,Library_literature_per_student,Library_spenditure_per_student,Number_of_StudE_per_faculty,Number_of_StudR_per_faculty,Number_of_entrepreneurship_CL_students,Number_of_entrepreneurship_PG_students,Number_of_entrepreneurship_CLPG_totalstudents,Number_of_entrepreneurship_faculty,entrepreneurship_funds(college),entrepreneurship_funds(business),startup_funds,fund_per_ntrepreneurship_student,startup_supporting_fund,Rates_of_faculty(StudE),Rates_of_faculty(StudR),Faculty_book_publications,factulty_paper_publications,Land_rates(StudE),Land_rates(StudR),Building_rates(StudE),Building_rates(StudR),Total_funds_of_financial_supports,Number_of_financial_support_projects,Total_GF,Number_of_GF_projects,Total_LGF,Number_of_LGF_projects,Financial_supports_per_StudE,Income_of_CIC,total_income_of_CIC,Educational_supports_fee_per_StudE,total_educational_support_fee,total_scholarship_outside,national_scholarship,total_scholarship_inside,disaster_scholaship,total_scholarship,scholarship_per_StudE,Registered_faculty_class_credits,Contract_based_faculty_class credits,Registered_faculty_credit_ratio,Contract_based_faculty_credit_ratio,Total_credits,Average_graduated_scores,Average_graduated_scores_100,Graduate_ShannonD,Graduate_evenness,Number_of_graduates,Number_of_employed,Number_of_exceptions_employment,Freelance,Founders,Industry_faculty_hired,Industry_faculty_designated,Industry_faculty_contract,Industry_faculty_career_less5yr,Industry_faculty_career_over5yr,Ind_facult_over_to_under,Industry_faculty_per_1K,Over5yr_ratio_per_1K,Safety_faculty_ratio,Safety_manage_budget_SCI,Safety_manage_budget_spenditure,Employment_rates
102,2019,13_Kyungbuk,C111,2688,2674,4.19,112,33,5,34,0.839,997,836,1.992,1.978,0.9,40246,2.007,0.913,6281,153,15819680,52.356,140,1.122,941,3,0.352,50.2,36172.4,29.87,29.71,1002,195,1197,0,0,0,0,0,5500000,67.67,66.67,0.025,0.081,166.8,171.5,109.5,112.6,3899343070,14,3703994990,8,195348080,6,1458243.482,147228941,4015029221,11669477.5,30515683582,7095556500,6973724900,2712128878,0,9807685378,3813252.5,1799.1,1951,0.48,0.52,3750.1,3.35,84.87,1.675,0.762,938,663,105,0,3,3,0,0,0.28,0.72,257.143,1.122,96.164,50,11820840,27.827,78.9
103,2019,13_Kyungbuk,C112,994,535,0,0,0,0,0,0.485,229,111,1.886,1.818,0.827,8075,1.953,0.889,1542,0,0,1.869,1,3.738,116,2,0.217,43.9,740.1,43.22,23.26,48,0,48,0,0,0,0,0,0,51.11,92,0,0,1760.9,3016,195.6,335,0,0,0,0,0,0,0,0,0,6524961.2,3967176427,273540600,270240600,1351166600,0,1624707200,2730600.3,485.5,380.5,0.561,0.439,866,3.26,85.9,1.576,0.81,254,199,49,0,12,0,0,0,0.333,0.667,200,0,373.832,0,228160,45.632,69.5
104,2019,13_Kyungbuk,C113,1919,1865,0,0,0,0,0,0.469,712,334,1.886,1.882,0.856,22949,1.889,0.86,5855,67,1114490,0,0,1.609,154,3,0.083,51.4,22784.4,29.52,28.69,203,120,323,2,3516397,0,3516397,10886.678,11377900,69.89,70.65,0.076,0.076,719.9,743.1,280.3,289.3,1203014200,21,547598827,6,655415373,15,645047.828,87100000,1797603307,10666821.4,20021623754,6085179420,5983440910,1459814230,0,7544993650,4091645.1,1469.5,1060.5,0.581,0.419,2530,3.41,85.39,1.741,0.792,721,485,57,0,7,0,6,0,0.385,0.615,160,3.217,85.791,50,38950,99.872,68
105,2019,13_Kyungbuk,C115,1769,1934,0,0,0,0,0,0.6,733,440,1.777,1.794,0.816,25592,1.761,0.802,4143,241,4592550,21.717,42,3.102,753,6,0.389,39.9,20333.5,28.53,31.19,117,62,179,1,0,5000000,5000000,27932.961,0,72.94,67.39,0.117,0.033,121.1,128.8,183.7,195.4,4451425486,8,4226425486,6,225000000,2,2301667.78,0,4447632501,11086774.3,22617019501,5712879390,5698817390,2194958260,0,7907837650,3971791.9,1184,1544,0.434,0.566,2728,3.38,85.48,1.489,0.716,790,431,73,0,17,0,5,0,0.111,0.889,800,2.585,413.65,100,7246700,73.199,70.3
106,2019,14_Kyungnam,C116,1216,1196,5.52,66,35,4,14,0.584,409,239,1.836,1.815,0.826,13890,1.857,0.845,3219,12,19701220,113.712,136,5.017,554,6,0.463,54.6,34017.3,29.66,29.17,120,142,262,2,0,33032000,33032000,126076.336,0,68.33,69.49,0,0.153,639,723.7,184.1,208.5,4086704334,7,3518247334,5,568457000,2,3416976.868,155819395,4798346734,12470877,15850484653,2813837019,2725356819,1120641031,0,3934478050,3167856.7,733.3,943.7,0.437,0.563,1677,3.47,86.34,1.543,0.702,463,419,14,0,5,2,0,13,0.143,0.857,600,12.542,501.672,100,10020000,26.994,79.5
107,2019,14_Kyungnam,C117,907,898,34.97,314,27,22,71,0.182,539,98,1.772,1.85,0.842,11175,1.693,0.771,2330,182,19232060,247.216,222,3.341,95,3,0.106,49.6,29814.6,31.28,30.97,394,334,728,1,0,54023410,54023410,74207.981,54023410,64.44,65.91,0.145,0.138,735.8,778.1,217.2,229.7,4597644000,14,3042787000,4,1554857000,10,5119870.824,442712146,3992039916,0,0,1169738860,1103881960,600096230,0,1769835090,2092003.7,592,947,0.385,0.615,1539,3.36,74.67,1.722,0.828,345,202,30,0,4,0,13,4,0,1,0,18.931,0,0,10032760,94.982,70
108,2019,14_Kyungnam,C118,800,794,16.88,134,60,6,84,0.09,577,52,1.94,1.906,0.868,9536,1.974,0.899,3438,138,11902958,196.474,156,8.816,1927,7,2.427,53.1,28700.9,33.33,33.08,657,209,866,1,4967020,31168660,36135680,41727.113,36135680,61.54,60,0.031,0.027,690,710.7,252,259.6,4560548000,10,3437748000,3,1122800000,7,5743763.224,51242310,4135344630,0,0,1442184550,1344784550,516853410,0,1959037960,2622540.8,599,959,0.384,0.616,1558,3.31,86.38,1.734,0.834,318,225,20,0,3,0,0,8,0,1,0,10.076,0,0,0,0,75.2
109,2019,14_Kyungnam,C119,1365,1434,3.91,56,7,2,2,0.703,502,353,2.056,2.056,0.936,18853,2.055,0.935,3522,0,0,50.907,73,27.197,493,39,0.344,18.7,14976.9,34.13,35.85,75,24,99,2,39600000,0,39600000,400000,39600000,59.7,56.34,0.545,0.202,461.2,430,128.7,120,6880000,4,0,0,6880000,4,4797.768,27344000,27361968,8474356.3,11584445068,3898615142,3879283702,1253041750,0,5151656892,3864708.8,967,899,0.518,0.482,1866,3.16,82.7,1.75,0.797,394,257,52,0,3,0,0,0,0.053,0.947,1800,0,1255.23,50,12798822,63.994,69.1
110,2019,14_Kyungnam,C120,1953,2253,0,0,0,0,0,0.438,949,416,1.836,1.867,0.85,29358,1.805,0.822,7177,212,1920060,195.295,440,0.888,909,2,0.403,37.3,17620.6,31.5,36.34,766,169,935,2,0,10974320,10974320,11737.241,0,63.92,55.36,0.138,0.062,699.1,672,190.6,183.3,6312539720,13,6195539720,9,117000000,4,2801837.426,532566053,6438968539,11826490.8,26846134094,5748759657,5575361377,2010333670,0,7759093327,3466976.5,1472.7,1655.9,0.471,0.529,3128.6,3.42,87.68,1.682,0.809,859,517,90,0,10,12,0,0,0.19,0.81,425,5.326,188.637,50,20131690,72.416,69
111,2019,14_Kyungnam,C121,5394,5595,1.95,109,14,5,5,0.925,1471,1360,1.976,1.98,0.901,72700,1.972,0.898,12995,228,24094840,44.325,248,17.873,978,100,0.175,32.7,32509.8,33.71,34.97,1192,513,1705,2,0,451332960,451332960,264711.413,451332960,59.93,57.76,0.082,0.087,190.7,182.2,179.7,172.6,3783384997,16,3562934997,10,220450000,6,676208.221,93379960,3941813109,9367107.5,51884408534,12575971654,12398292627,4886543480,0,17462515134,3203543.4,3240.3,3068.6,0.514,0.486,6308.9,3.22,83.93,1.72,0.783,1955,1349,126,4,10,2,0,0,0.121,0.879,725,0.357,129.58,33.333,39657000,90.917,73.3
112,2019,14_Kyungnam,C122,1170,1193,6.04,72,53,4,5,0.366,505,185,1.933,1.931,0.879,14938,1.935,0.881,3925,106,24500636,88.852,106,0.838,296,1,0.248,59.1,32248,31.62,32.24,372,39,411,1,0,14460000,14460000,35182.482,14460000,62.71,60.66,0.003,0.205,521,512,194.7,191.3,2298000000,2,2298000000,2,0,0,1926236.379,126309500,2416405388,14240289.7,16874743321,2964043480,2895433500,1117942150,0,4081985630,3561942.1,854,875,0.494,0.506,1729,3.47,88.24,1.421,0.793,438,322,7,0,2,6,0,0,0.1,0.9,900,5.029,754.401,50,466400,23.32,79.5
113,2019,14_Kyungnam,C123,2386,2808,0,0,0,0,0,2.065,550,1136,1.903,1.966,0.895,41013,1.839,0.837,10604,0,0,0,0,0.356,912,1,0.325,32.5,22359.6,30.99,36.47,934,51,985,0,0,0,0,0,0,65.25,55.8,0.135,0.135,55.1,46.4,113.8,95.8,0,0,0,0,0,0,0,9090909,67517080,8195644.6,22857652743,8058040360,7961083780,2473962100,0,10532002460,3800794.8,1734.8,1378.2,0.557,0.443,3113,3.17,82.15,1.725,0.785,893,694,53,0,4,0,0,0,0.385,0.615,160,0,56.98,50,12725830,43.109,75.5
114,2019,14_Kyungnam,C125,3189,3095,9.79,303,34,4,4,0.423,1234,522,1.87,1.9,0.865,39398,1.84,0.837,11406,409,42309953,0,0,0.969,6990,3,2.258,61.7,21780,35.43,34.39,645,129,774,2,0,35000000,35000000,45219.638,35000000,59.21,60.4,0.122,0.077,224,234.6,206.1,215.9,6618223118,27,5871685118,14,746538000,13,2138359.65,279487417,7005173442,11678469.1,36857248401,7041608640,6945601430,2472651330,0,9514259970,3072089.1,2174,2142,0.504,0.496,4316,3.28,84.12,1.696,0.772,1354,847,139,0,17,9,34,0,0.444,0.556,125,13.893,40.388,50,19415480,75.842,66.8
115,2019,14_Kyungnam,C126,594,651,26.11,170,15,6,84,0.364,264,96,1.873,1.851,0.842,6747,1.896,0.863,1289,289,73189412,396.313,258,3.072,261,2,0.401,31.6,22710.3,29.7,32.55,257,0,257,3,0,0,0,0,0,66.67,60.61,0.183,0.099,157.6,499.5,165.5,262.3,3380868000,5,3350868000,4,30000000,1,5193345.622,109592634,3813138391,14159523.6,9161211773,2180254030,1969567470,742273600,0,2922527630,4602405.7,420,472,0.471,0.529,892,3.42,85.97,1.622,0.738,307,177,5,0,0,5,0,0,0.375,0.625,166.667,7.68,256.016,0,98318810,92.425,81.7
116,2019,15_Chonbuk,C127,893,1134,0,0,0,0,0,2.937,175,514,1.815,1.839,0.837,16454,1.79,0.815,4382,0,0,0,0,0,0,0,0,32.7,28703.8,28.81,36.58,297,45,342,0,3307400,0,3307400,9670.76,643900,68.89,54.39,0.032,0.394,192.1,74.9,114,88.9,0,0,0,0,0,0,0,880000,30305800,9396435.3,10674350519,3006434640,2985892720,1075000000,0,4081434640,3599148.7,603,382,0.612,0.388,985,3.25,85.03,1.409,0.876,267,215,2,0,0,2,0,0,0.154,0.846,550,1.764,485.009,0,5521930,96.876,85.8
117,2019,15_Chonbuk,C128,1551,1951,3.59,70,0,1,11,0.345,875,302,1.843,1.85,0.842,24659,1.837,0.836,4335,25,14030000,70.22,137,4.613,317,9,0.162,45.3,24618.8,29.26,36.81,631,26,657,2,3632000,0,3632000,5528.158,2000000,69.74,56.99,0,0.025,442.1,420.8,125.3,119.3,5300844000,19,4746485000,8,554359000,11,2716988.211,33059936,5529824378,11284243.5,21406209893,4817706174,4787201834,1846659983,0,6664366157,3653709.5,1361,1595,0.46,0.54,2956,3.41,85.89,1.637,0.745,701,413,84,5,16,0,0,1,0.167,0.833,500,0.513,256.279,50,0,0,69.3
118,2019,15_Chonbuk,C129,1407,1264,0,0,0,0,0,0.374,639,239,1.998,1.979,0.901,17663,2.018,0.918,3229,0,0,18.196,23,4.747,570,6,0.451,33.5,3235.5,38.03,34.16,189,0,189,0,0,0,0,0,0,52.11,57.81,0.005,0.06,458.3,487.3,182.5,194,0,0,0,0,0,0,0,20317494,21492620,9925613.4,13449206097,2960474763,2936895963,1106319203,0,4066793966,3076243.5,624,1295,0.325,0.675,1919,3.3,84.02,1.737,0.791,612,244,104,2,8,0,0,0,1,0,0,0,0,0,0,0,48.9
119,2019,15_Chonbuk,C131,4043,4543,8.94,406,51,10,32,0.753,1440,1084,1.94,1.965,0.894,62503,1.916,0.872,13192,902,86324536,0,0,1.101,1534,5,0.338,40.4,23947.3,32.09,36.06,1878,210,2088,2,38400000,213127230,251527230,120463.233,251527230,64.29,57.27,0.03,0.392,101.6,95.6,112.7,105.9,7646950500,34,6497154000,20,1149796500,14,1683238.059,142696455,7242855185,12041830.7,54308656459,13992000797,13856457557,3748917644,0,17740918441,4016508.6,2906.7,2740.4,0.515,0.485,5647.1,3.5,88.55,1.642,0.844,1570,1091,152,0,6,17,0,0,0.214,0.786,366.667,3.742,80.71,33.333,49947270,100,74.4
120,2019,15_Chonbuk,C132,1512,1649,12.73,210,54,11,116,0.633,643,407,1.857,1.9,0.865,22694,1.814,0.826,3011,405,45786639,76.41,126,3.639,1032,6,0.626,40.4,29891.4,30.24,32.98,749,65,814,3,262000,10704000,10966000,13471.744,10966000,67.57,62.5,0.156,0.068,263.9,232.9,227.6,200.8,3673362000,24,3222362000,11,451000000,13,2227630.079,731621070,3814755341,10903733,17511395257,5283168130,5253068130,1817015450,0,7100183580,4548484,1056,1189,0.47,0.53,2245,3.32,85.31,1.631,0.784,605,384,110,6,24,2,10,0,0.211,0.789,375,7.277,227.411,0,7067440,64.249,76.4
121,2019,15_Chonbuk,C133,2052,1765,2.78,49,15,3,49,0.384,885,340,1.911,1.9,0.865,14620,1.922,0.875,1717,222,87667950,0,0,1.133,984,2,0.558,51.4,22661.7,41.88,36.02,434,80,514,2,14000000,4918870,18918870,36807.14,62837740,56.32,65.33,0.063,0.065,72.5,86.4,125.3,149.2,1650073968,17,959305514,6,690768454,11,934886.101,90148494,1702255189,10604202.2,17952914355,5694323890,5627543750,1897095429,0,7591419319,4651605,1188,1583,0.429,0.571,2771,3.32,85.05,1.723,0.784,609,382,113,2,10,2,0,0,0.733,0.267,36.364,1.133,20.603,0,16530000,81.429,62.6
122,2019,15_Chonbuk,C134,2579,3563,8.25,294,48,11,204,0.545,1322,720,1.905,1.938,0.882,43571,1.871,0.851,10879,594,120940770,77.182,275,2.526,834,9,0.234,38.4,21943.1,29.31,40.49,1951,638,2589,2,0,69457000,69457000,26827.733,69457000,68.75,50,0.023,0.425,221.8,195.4,176.4,155.3,6187451600,40,5170947000,17,1016504600,23,1736584.788,680792608,6765125323,10537776.8,38178365191,10223472630,10031531260,2892193430,0,13115666060,3737721.9,2075.7,2821,0.424,0.576,4896.7,3.45,86.47,1.632,0.743,1362,799,196,5,15,8,8,0,0.353,0.647,183.333,4.491,51.455,33.333,1651130,31.931,76
123,2019,15_Chonbuk,C135,1570,1636,0,0,0,0,0,0.433,600,260,1.979,1.901,0.865,13503,2.056,0.936,10182,0,0,0,0,0,0,0,0,40.4,48572.5,29.07,30.3,1420,14,1434,0,0,0,0,0,60811000,68.35,65.85,0.064,0.233,1666.9,1681.2,311,313.6,1580616819,25,1544786819,23,35830000,2,966147.2,1387487288,2870921486,0,0,134587500,134587500,263048310,0,397635810,267408.1,1253,440,0.74,0.26,1693,3.71,91.2,1.565,0.873,474,61,146,0,7,0,0,0,0.241,0.759,314.286,0,192.106,50,5052000,13.429,72
124,2019,16_Chonnam,C136,2002,1954,0,0,0,0,0,0.714,518,370,1.726,1.731,0.788,19938,1.722,0.784,2711,0,0,0,0,11.259,616,22,0.315,12.9,4365.8,30.8,30.06,776,0,776,1,33500000,0,33500000,43170.103,0,73.86,77.38,0.002,0.069,347.1,436.7,142.9,179.7,1042815430,4,0,0,1042815430,4,533682.41,133623789,1505601831,7024842.9,15574076789,5551500980,5519828380,1018430520,0,6569931500,3104882.6,1417,1139,0.554,0.446,2556,3.45,86.77,1.374,0.706,920,521,110,0,36,4,3,0,0.333,0.667,200,3.582,102.354,0,2993230,14.253,71.8
125,2019,16_Chonnam,C137,1920,996,0,0,0,0,0,0.532,524,279,2.02,2.079,0.946,20269,1.962,0.893,1680,0,0,0,0,8.032,249,8,0.25,34.2,0,32,16.6,0,0,0,1,0,0,0,0,0,63.16,117.65,0.019,0.032,132.6,478.5,127.1,229.3,0,0,0,0,0,0,0,17548000,84598416,0,0,508241580,495388600,2332638800,0,2840880380,2417770.5,1300.1,464,0.737,0.263,1764.1,3.39,85.78,1.654,0.85,451,361,24,0,2,0,0,0,0.286,0.714,250,0,251.004,100,37192000,100,72.6
126,2019,16_Chonnam,C138,1700,1736,0,0,0,0,0,0.418,686,287,1.914,1.906,0.868,21839,1.922,0.875,4199,0,0,17.857,31,4.032,750,7,0.432,31.6,19391.4,30.36,31,0,0,0,0,0,0,0,0,0,71.79,70.89,0.318,0.077,576.6,552.9,186.4,178.7,300000000,2,300000000,2,0,0,172811.06,4800000,318971187,7221533.4,13164855418,4422997660,4360137660,877896240,0,5300893900,2971353.1,1303,1035,0.557,0.443,2338,3.44,3.44,1.387,0.774,581,404,56,0,18,0,0,0,0.423,0.577,136.364,0,78.55,0,4737260,23.686,71.9
127,2019,16_Chonnam,C139,2305,2287,0,0,0,0,0,0.771,750,578,1.991,2.009,0.914,29444,1.973,0.898,6842,0,0,58.155,133,0,0,0,0,31.1,22225.8,32.46,32.21,571,128,699,2,3000000,10000000,13000000,18597.997,3000000,62.83,63.39,0.066,0.074,190.7,190.5,180,179.8,4659000000,3,4479000000,2,180000000,1,2037166.594,52788513,5562525333,11097364.3,25546132653,6735919228,6543030308,1693957190,0,8429876418,3739962.9,1791,1100,0.62,0.38,2891,3.28,84.31,1.63,0.838,700,529,88,10,19,0,0,1,0,1,0,0.437,0,50,23818120,92.533,71.6
128,2019,16_Chonnam,C140,2485,2669,10.3,275,83,3,247,0.485,969,470,1.698,1.711,0.823,29468,1.686,0.811,8864,458,64478507,102.66,274,1.873,2178,5,0.816,42.2,26668.2,32.7,35.12,1920,539,2459,1,15000000,25200000,40200000,16348.109,40200000,63.87,59.38,0.045,0.059,338.7,330,152.6,148.7,2557101800,15,2226901800,8,330200000,7,958074.859,77252857,2550642728,9158393.6,23537071459,6229844768,6213848768,2010093500,0,8239938268,3330613.7,2055.6,1578.4,0.566,0.434,3634,3.43,86.2,1.529,0.735,988,543,92,0,11,6,1,0,0.464,0.536,115.385,2.623,43.231,50,16290530,72.274,68
129,2019,16_Chonnam,C141,3188,4131,16.07,664,143,8,75,0.668,1514,1012,1.846,1.856,0.845,56325,1.836,0.835,11868,612,41437700,25.66,106,0.726,255,3,0.062,29,28025.5,30.95,40.11,1745,81,1826,3,0,17202760,17202760,9421.008,17202760,64.38,50.49,0.269,0.089,150.2,150.6,129.1,129.5,5169831200,15,4852868000,5,316963200,10,1251472.089,183219083,5453072769,9104229.3,38328805281,12199697120,12147526160,2699602440,0,14899299560,3658963.5,2908,2853,0.505,0.495,5761,3.52,88.74,1.343,0.75,1508,875,288,0,50,3,0,0,0.429,0.571,133.333,0.726,32.276,50,6678530,83.482,75.8
130,2019,16_Chonnam,C142,1510,1341,0,0,0,0,0,0.204,769,157,2.033,2.02,0.92,18528,2.045,0.931,2836,120,16891000,191.648,257,1.491,354,2,0.264,64.5,38878.7,33.56,29.8,851,255,1106,0,0,0,0,0,16800000,62.5,69.23,0.169,0.052,600,723.5,169,203.7,6303567855,50,4224032944,14,2079534911,36,4700647.17,430465535,6698273666,0,0,1479312500,1434124000,412408050,0,1891720550,1444061.5,791,1350,0.369,0.631,2141,3.29,86.17,1.778,0.914,564,312,100,9,10,0,0,0,1,0,0,0,0,0,13793000,100,66.2
131,2019,16_Chonnam,C143,2777,2675,0,0,0,0,0,0.971,765,743,1.951,1.989,0.905,37546,1.914,0.871,5620,0,0,0,0,1.495,296,4,0.111,34.8,22011.5,37.03,35.67,1535,54,1589,3,1200000,8200000,9400000,5915.67,9400000,56.39,57.69,0.255,0.24,66.1,67.6,141.3,144.6,3266500330,92,1970892800,29,1295607530,63,1221121.619,480337904,3987422256,9724686,26810959435,7556977500,7509747500,2234383510,0,9791361010,3638558.5,1678,1734,0.492,0.508,3412,3.33,74,1.646,0.792,912,622,60,0,14,0,0,0,0.133,0.867,650,0,242.991,50,13334110,76.413,74.2
132,2019,16_Chonnam,C144,1404,1364,0,0,0,0,0,0.634,462,293,1.616,1.593,0.725,18115,1.638,0.746,3350,0,0,122.434,167,1.466,129,2,0.095,20.7,17888.4,36.95,35.89,297,118,415,1,25419380,7000000,32419380,78118.988,0,55.88,56.72,0.005,0.026,543.9,586.6,166.4,179.5,545000000,2,500000000,1,45000000,1,399560.117,472857999,584451062,8042222.1,10977633160,3112664324,3097364324,898942710,0,4011607034,3043707.9,688,1226,0.359,0.641,1914,3.56,87.79,1.361,0.845,521,336,44,0,18,4,0,0,0.143,0.857,600,2.933,439.883,100,22507580,100,67.2
133,2019,17_Jeju,C145,2370,2295,2.92,67,29,1,61,0.261,1094,285,1.982,1.937,0.882,24818,2.026,0.922,5281,15,1066890,144.227,331,10.893,477,25,0.208,31.9,32412.6,31.6,30.6,573,40,613,1,8000000,0,8000000,13050.571,0,69.44,70.75,0.076,0.012,162.4,170.1,181.8,190.4,5869486140,31,3496446220,6,2373039920,25,2557510.301,122599562,1517950208,8769389.5,19660971195,5660331429,5554896959,1410000000,0,7070331429,3350868,1696,1888,0.473,0.527,3584,3.46,86.01,1.74,0.792,759,488,84,0,13,5,0,0,0.143,0.857,600,2.179,261.438,50,6899610,68.996,76.7
134,2019,17_Jeju,C147,4646,5918,0,0,0,0,0,0.517,2203,1140,2.029,2.023,0.921,61437,2.036,0.926,11809,414,48399485,0,0,2.028,341,12,0.058,25.9,14483.2,30.57,38.93,1858,205,2063,4,10000000,162000000,172000000,83373.728,171673420,70.05,55.47,0.015,0.25,109.1,90,117.8,97.2,5849882440,48,3622647440,20,2227235000,28,988489.767,760946861,4429268858,7555119.4,41590932571,11354744880,11195493330,2828808685,0,14183553565,2618824.5,3756,3697,0.504,0.496,7453,3.33,84.44,1.772,0.806,1554,1008,232,0,20,5,77,4,0.574,0.426,74.286,14.532,12.553,33.333,18891070,71.287,72.4
135,2020,01_Seoul,C001,4976,5828,4.92,287,59,9,93,1.132,1136,1286,1.851,1.914,0.871,62717,1.788,0.814,18498,475,33859486,32.944,192,0,0,0,0,49.2,43882.3,31.9,37.36,1195,492,1687,6,8291090,81942300,90233390,53487.487,136098705,64.46,54.93,0.044,0.209,28.9,28.4,118.3,116.1,9066070000,25,7274913000,21,1791157000,4,1555605.697,259210826,8584311854,10563541.7,61585448381,15259260960,14962896200,5810000000,0,21069260960,3711337.1,3574,3219,0.526,0.474,6793,3.36,86.99,1.677,0.807,2459,1511,201,23,16,7,0,0,0.483,0.517,106.897,1.201,18.342,33.333,12952950,47.7,72.8
136,2020,01_Seoul,C002,5869,7035,0,0,0,0,0,0.299,3111,930,1.974,1.923,0.875,72550,2.024,0.921,19406,1105,168550936,89.41,629,8.955,752,63,0.107,32.6,32294.2,32.97,39.52,1145,717,1862,4,60870000,66094000,126964000,68186.896,126964000,64.96,54.27,0.018,0.105,26.5,23.9,136.6,123.4,2444893706,15,2149215706,13,295678000,2,347532.865,704026917,1713651950,9964838.2,70311898196,17712445597,17512369967,6707295120,0,24419740717,3632808.8,3949,5638,0.412,0.588,9587,3.38,84.55,1.69,0.769,2928,1581,382,59,42,18,0,0,0.216,0.784,362.5,2.559,51.528,33.333,3385890,19.184,60.8
137,2020,01_Seoul,C003,2690,2840,0,0,0,0,0,1.215,573,696,1.898,1.837,0.836,31486,1.959,0.892,7925,400,34570655,54.577,155,3.873,212,11,0.075,52.6,26417.5,34.49,36.41,637,442,1079,2,36240090,0,36240090,33586.738,36240090,65.55,61.42,0.131,0.397,45.9,46.5,120.3,121.9,898259513,9,429516432,6,468743081,3,316288.561,81058367,1112750279,9819283.8,28112609515,7230311030,7062776410,2189043390,0,9419354420,3423974.7,1522,1840,0.453,0.547,3362,3.46,86.27,1.602,0.771,1236,840,129,5,5,5,0,0,0.333,0.667,200,1.761,70.423,50,39657000,341.871,62.3
138,2020,01_Seoul,C004,1072,1325,2.26,30,17,1,22,0.9,449,404,1.924,1.922,0.875,17018,1.926,0.877,5484,146,13721330,21.887,29,11.321,863,15,0.651,42.8,37544.3,24.93,30.81,459,177,636,2,0,0,0,0,818000,79.63,65.15,0.315,0.163,174.9,139.1,128,101.7,2563583900,8,2479140000,6,84443900,2,1934780.302,34196364,567366887,12047285.3,16516828115,3046796835,2960937740,1263071825,0,4309868660,3201982.7,906,759,0.544,0.456,1665,3.18,82.62,1.661,0.799,513,380,28,0,6,1,0,0,0.385,0.615,160,0.755,120.755,0,14727950,224.916,76.1
139,2020,01_Seoul,C005,684,934,0,0,0,0,0,1.154,195,225,1.84,1.845,0.84,12254,1.835,0.835,5172,214,4200000,0,0,2.141,225,2,0.241,37.6,40081.6,25.33,34.59,135,13,148,2,0,0,0,0,0,77.14,57.45,0.056,0.468,39.7,29.5,106.9,79.5,1927456968,5,1632456968,3,295000000,2,2063658.424,228490000,1893599259,11291496.9,10602715612,1809019400,1743586400,914736360,0,2723755760,2935081.6,362.2,371.8,0.493,0.507,734,3.28,84.86,1.374,0.854,248,229,0,0,0,0,0,0,0,1,0,0,0,0,4860000,54.66,86.7
140,2020,01_Seoul,C006,5386,6055,19.36,1172,14,25,59,0.432,2203,952,1.945,1.915,0.871,67219,1.975,0.899,14008,752,54050750,100.908,611,0.991,656,6,0.108,29.6,34092.9,31.87,35.83,1528,313,1841,3,37399000,612115000,649514000,352804.997,657288000,65.25,57.88,0.036,0.429,31.1,30.7,100.1,99.1,7569790203,36,5358509373,25,2211280830,11,1250171.792,461260617,6771842707,9690042.7,58188706406,14968442640,14776044600,5605779015,0,20574221655,3509761.5,3521.5,4770.8,0.425,0.575,8292.3,3.26,86.99,1.587,0.816,2255,1344,276,39,19,12,0,0,0.324,0.676,209.091,1.982,34.532,33.333,20275287,61.44,67.2
141,2020,01_Seoul,C007,3375,3396,0,0,0,0,0,1.071,770,825,1.883,1.869,0.851,39202,1.897,0.864,5869,406,8325490,49.764,169,5.006,2011,17,0.592,53.6,32638.5,44.41,44.68,853,552,1405,2,47896130,0,47896130,34089.772,0,51.01,50.67,0.056,0.368,50.5,53.6,147.8,157.1,143112000,3,143112000,3,0,0,42141.343,41305394,210765799,8060637.4,27099863074,8006798930,7893268930,3016793800,0,11023592730,3391874.7,1895,2328,0.449,0.551,4223,3.24,84.08,1.598,0.768,1456,916,109,106,8,5,0,0,0.167,0.833,500,1.472,147.232,0,17724040,172.078,66.3
142,2020,01_Seoul,C008,5826,6369,4.74,302,19,17,72,0.937,1406,1317,1.934,1.9,0.865,63221,1.967,0.895,23230,1540,42507700,124.195,791,2.355,3646,15,0.572,38.7,8065.8,37.59,41.09,1967,942,2909,7,227000000,1750000000,1977000000,679614.988,211500000,56.16,51.32,0.033,0.058,57.9,57.4,124.6,123.5,3529699000,25,3404866000,22,124833000,3,554199.874,319863464,4311586225,9672694,60444665093,15568751957,15285389207,4979854987,0,20548606944,3396464,3739.6,3423,0.522,0.478,7162.6,3.52,86.55,1.602,0.729,2329,1266,252,65,13,9,0,0,0.25,0.75,300,1.413,47.103,50,11438130,64.879,65.8
